,Region,Region_code,price_period,price_period_code,price,number_bathrooms,number_bedrooms,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Pets Allowed,Wheelchair Access,Garden / Patio / Balcony,Serviced Property
1081,Dublin 8,18,month,0,1800,1,2,0,1,1,0,0,1,0,0,1,0
1082,Dublin 2,8,month,0,1674,1,1,0,0,1,0,1,1,0,0,1,1
1083,Dublin 8,18,month,0,1500,1,1,0,1,1,1,0,1,0,0,1,0
1084,Dublin 1,0,month,0,1500,1,1,0,1,1,1,0,1,0,0,0,0
1085,Dublin 2,8,month,0,1800,1,1,0,1,1,0,0,1,0,0,0,0
1086,Dublin 1,0,month,0,1400,1,1,0,1,1,0,0,1,0,0,0,0
1087,Dublin 1,0,month,0,1350,1,1,0,1,1,0,0,1,0,0,0,0
1088,Dublin 14,4,month,0,1560,1,2,0,0,1,0,0,0,0,0,0,0
1089,Dublin 8,18,month,0,2400,1,3,0,1,1,0,0,0,0,0,1,0
1090,Dun Laoghaire A94,22,month,0,2550,3,3,1,1,1,1,1,1,0,0,1,0
1091,Dublin 12,2,month,0,1424,2,2,1,1,1,1,0,1,0,0,0,0
1092,Dublin 3,12,month,0,1950,2,2,1,1,1,1,1,1,0,0,1,0
1093,Dublin 6,15,month,0,1850,1,2,1,0,1,0,0,1,0,0,1,0
1094,Dublin 15,5,month,0,1850,2,2,1,1,1,1,1,1,0,0,1,0
1095,Dublin 13,3,month,0,1700,2,2,1,1,1,0,1,1,0,0,0,0
1096,Dublin 3,12,month,0,1560,1,2,0,0,1,1,0,1,0,0,1,0
1097,Dublin 6,15,month,0,2175,2,3,1,0,1,1,1,1,0,0,1,0
1098,Dublin 15,5,month,0,1900,2,2,1,1,1,1,1,1,0,0,1,0
1099,Dublin 8,18,month,0,1600,1,2,1,0,1,1,0,1,0,0,1,0
1100,Dublin 7,17,month,0,1500,1,1,0,1,1,0,1,1,0,0,1,1
1101,Dublin 7,17,month,0,2000,2,3,0,1,1,0,0,0,0,0,1,1
1102,Dublin 8,18,month,0,2295,1,4,0,1,1,0,0,1,0,0,1,1
1103,Dublin 7,17,month,0,1295,1,1,0,1,1,0,0,1,0,0,1,1
1104,Dublin 1,0,month,0,1700,1,2,0,1,1,0,0,1,0,0,1,1
1105,Dublin 7,17,month,0,1600,1,2,0,1,1,1,0,0,0,0,1,1
1106,Dublin 1,0,month,0,1000,1,1,0,1,1,0,0,1,0,0,0,1
1107,Dublin 1,0,month,0,1495,1,2,0,1,1,0,0,1,0,0,0,1
1108,Dublin 8,18,month,0,1700,1,1,0,1,1,0,0,1,0,0,0,1
1109,Dublin 7,17,month,0,1350,1,1,0,1,1,0,0,1,0,0,1,1
1110,Dublin 7,17,month,0,1500,1,1,0,1,1,1,1,1,0,0,1,1
1111,Dublin 2,8,month,0,2250,2,2,1,1,1,1,1,1,0,0,1,0
1112,Dublin 14,4,month,0,1595,1,1,1,1,1,1,1,1,0,0,1,0
1113,Dublin 13,3,month,0,1950,2,2,1,1,1,1,1,1,0,0,1,0
1114,Dublin 2,8,month,0,1495,1,1,0,1,1,1,0,1,0,0,1,0
1115,Dublin 2,8,month,0,1980,2,2,0,1,1,1,1,1,0,0,0,0
1116,Dublin 2,8,month,0,1495,1,1,0,1,1,1,0,1,0,0,1,0
1117,Dublin 8,18,month,0,2950,2,3,1,1,1,1,1,1,0,0,1,0
1118,Dublin 2,8,month,0,1550,1,1,0,0,0,0,0,0,0,0,1,0
1119,Dublin 2,8,month,0,2800,2,2,1,0,1,1,1,1,1,0,1,0
1120,Dublin 1,0,month,0,1750,1,2,0,0,1,1,0,1,0,0,0,0
1121,Dublin 1,0,month,0,1550,1,1,0,0,0,0,0,0,0,0,1,0
1122,Dublin 5,14,month,0,1750,1,2,1,0,1,0,1,1,0,0,1,0
1123,Dublin 1,0,month,0,1600,1,1,0,0,1,1,0,1,0,0,1,0
1124,Dublin 1,0,month,0,1550,1,1,0,0,1,0,0,1,0,0,1,0
1125,Dublin 1,0,month,0,2300,2,2,1,0,1,1,1,1,0,0,1,0
1126,Dublin 2,8,week,1,850,2,2,1,1,1,1,1,1,0,0,1,1
1127,Dublin 2,8,week,1,800,2,2,1,1,1,1,1,1,0,0,1,1
1128,Dublin 2,8,week,1,750,2,2,1,1,1,1,1,1,0,0,1,1
1129,Dublin 2,8,week,1,800,2,2,0,1,1,1,1,1,0,0,1,1
1130,Dublin 2,8,week,1,850,2,2,1,1,1,1,1,1,0,0,1,1
1131,Dublin 2,8,week,1,630,1,1,1,1,1,1,0,1,0,0,1,1
1132,Dublin 2,8,week,1,700,1,1,1,1,1,1,1,1,0,0,1,1
1133,Dublin 2,8,week,1,850,2,2,1,1,1,1,1,1,0,0,1,1
1134,Dublin 2,8,month,0,2950,2,2,1,1,1,1,1,1,0,0,1,0
1135,Dublin 1,0,month,0,1280,1,1,0,1,1,0,0,1,0,0,0,0
1136,Dublin 8,18,month,0,1800,1,2,0,0,1,0,1,1,0,0,1,0
1137,Dublin 18,7,month,0,1680,1,2,1,1,1,1,0,1,0,0,0,0
1138,Dublin 6,15,month,0,1500,1,1,1,1,1,0,0,1,0,0,0,0
1139,Dublin 4,13,month,0,1730,1,1,0,1,1,1,1,1,0,0,0,0
1140,Dublin 6,15,month,0,2400,3,3,1,1,1,0,1,0,0,0,1,0
1141,Dublin 6,15,month,0,1450,1,1,1,0,1,0,0,0,0,0,0,0
1142,Dublin 16,6,month,0,2245,2,3,1,1,1,1,1,1,0,0,1,0
1143,Dublin 2,8,month,0,1450,1,1,1,1,1,0,0,0,0,0,0,0
1144,Dublin 14,4,month,0,2122,2,2,1,1,1,1,0,0,0,0,1,0
1145,Dublin 2,8,month,0,1850,1,2,0,0,1,0,1,1,0,0,0,0
1146,Dublin 4,13,month,0,2000,1,2,1,1,1,1,0,1,0,0,1,0
1147,Dun Laoghaire A96,23,month,0,2150,2,2,1,1,1,0,1,1,0,0,1,0
1148,Dublin 6,15,month,0,1693,1,2,1,0,1,1,0,0,0,0,1,0
1149,Dublin 2,8,month,0,1550,1,1,0,0,1,1,0,1,0,0,1,0
1150,Dun Laoghaire A94,22,month,0,1832,1,2,1,1,1,1,1,0,0,0,1,0
1151,Dublin 18,7,month,0,1800,2,2,1,0,1,0,1,1,0,0,0,0
1152,Dublin 6,15,month,0,1400,1,1,0,1,1,1,0,1,0,0,0,0
1153,Dublin 18,7,month,0,2200,2,3,1,0,1,0,1,1,0,0,1,0
1154,Dublin 8,18,month,0,1900,2,2,1,1,1,0,1,1,0,0,1,0
1155,Dublin 1,0,month,0,2300,1,3,0,1,1,1,0,1,0,0,0,0
1156,Dun Laoghaire A96,23,month,0,3900,3,3,1,1,1,1,1,1,0,0,1,0
1157,Dun Laoghaire A96,23,month,0,2900,2,2,1,1,1,1,1,0,0,0,1,0
1158,Dun Laoghaire A96,23,month,0,1957,2,2,1,1,1,1,1,1,0,0,0,0
1159,Dublin 4,13,month,0,1650,1,2,1,1,1,0,1,1,0,0,0,0
1160,Dublin 4,13,month,0,1900,2,2,1,1,1,1,1,1,0,0,1,0
1161,Dublin 18,7,month,0,2000,2,2,1,1,1,1,1,1,0,0,1,0
1162,Dun Laoghaire A9X,24,month,0,2100,2,2,1,1,1,1,1,1,0,0,1,0
1163,Dublin 14,4,month,0,1900,2,2,1,1,1,1,0,1,0,0,1,0
1164,Dublin 1,0,month,0,3000,2,3,0,1,1,1,1,1,0,0,1,0
1165,Dublin 9,19,month,0,1900,2,2,1,0,0,0,0,0,0,0,0,0
1166,Dublin 6,15,month,0,1650,1,2,1,0,0,0,0,0,0,0,0,0
1167,Dublin 9,19,month,0,1700,1,2,1,0,0,0,0,0,0,0,0,0
1168,Dublin 14,4,month,0,1995,2,2,1,1,1,0,1,1,0,0,1,0
1169,Dublin 18,7,month,0,1825,2,2,1,1,1,0,1,1,0,0,1,0
1170,Dublin 18,7,month,0,2000,2,3,1,1,1,0,0,1,0,0,1,0
1171,Dublin 3,12,month,0,1800,1,2,1,0,1,1,1,0,0,0,0,0
1172,Dublin 18,7,month,0,1900,2,2,1,0,1,1,0,1,0,0,1,0
1173,Dublin 18,7,month,0,1896,2,2,0,1,1,0,0,0,0,0,1,0
1174,Dun Laoghaire A9X,24,month,0,2395,3,3,1,0,1,0,1,1,0,0,1,0
1175,Dublin 4,13,month,0,2250,2,2,1,1,1,1,1,1,0,0,0,0
1176,Dublin 8,18,month,0,1750,1,2,0,0,1,1,0,0,0,0,0,0
1177,Dublin 4,13,month,0,2125,1,2,1,0,1,1,1,1,0,0,0,0
1178,Dublin 8,18,month,0,1480,1,1,1,1,1,0,0,1,0,0,1,0
1179,Dublin 3,12,month,0,1550,1,2,1,1,1,0,1,1,0,1,1,0
1180,Dublin 4,13,week,1,500,1,1,1,1,1,1,0,1,0,0,1,1
1181,Dublin 4,13,month,0,1900,2,2,1,1,1,1,1,1,0,0,0,0
1182,Dublin 14,4,month,0,1781,2,2,1,1,1,1,1,0,0,0,1,0
1183,Dun Laoghaire A94,22,month,0,1895,1,2,1,1,0,0,0,0,0,0,1,0
1184,Dublin 2,8,month,0,2600,2,2,1,0,1,0,1,1,0,0,0,0
1185,Dublin 4,13,month,0,2200,2,2,0,1,1,1,1,1,0,0,1,0
1186,Dublin 2,8,month,0,2400,1,2,0,1,1,0,0,1,0,0,1,0
1187,Dublin 4,13,month,0,2600,2,2,1,1,1,1,1,1,0,0,1,0
1188,Dublin 4,13,month,0,2200,2,2,0,1,1,1,1,1,0,0,1,0
1189,Dublin 4,13,month,0,1500,1,1,1,1,1,1,0,1,0,0,0,0
1190,Dublin 1,0,month,0,1950,2,2,0,1,1,1,1,0,0,0,1,0
1191,Dublin 4,13,month,0,2900,2,2,1,1,1,1,1,1,0,0,1,0
1192,Dublin 2,8,month,0,1850,1,2,0,1,1,0,0,0,0,0,1,0
1193,Dublin 1,0,month,0,1650,1,1,0,1,1,1,1,0,0,0,1,0
1194,Dublin 4,13,month,0,2350,2,2,1,1,1,1,1,1,0,0,1,0
1195,Dublin 6,15,month,0,2400,2,2,1,1,1,0,1,1,0,0,1,0
1196,Dublin 6,15,month,0,1650,1,1,1,1,1,1,1,1,0,0,1,0
1197,Dublin 4,13,month,0,1995,1,2,0,1,0,0,0,0,0,0,0,0
1198,Dublin 14,4,month,0,2200,2,2,1,1,1,1,1,1,1,0,1,0
1199,Dublin 4,13,month,0,1850,1,1,0,1,1,1,1,1,0,0,1,0
1200,Dublin 4,13,month,0,2100,2,2,1,1,1,1,0,1,0,0,0,0
1201,Dublin 4,13,month,0,2300,2,2,1,1,1,1,0,1,0,0,1,0
1202,Dublin 14,4,month,0,2200,2,2,1,1,1,1,1,1,1,0,1,0
1203,Dublin 2,8,month,0,2300,1,2,0,1,1,1,1,0,0,0,1,0
1204,Dublin 5,14,month,0,3000,2,3,1,1,1,1,0,0,0,0,0,0
1205,Dublin 14,4,month,0,1873,2,2,1,1,1,1,1,1,0,0,0,0
1206,Dublin 2,8,month,0,1835,2,2,1,0,1,0,1,1,0,0,1,0
1207,Dublin 4,13,month,0,2700,2,2,1,0,1,1,1,1,0,0,1,0
1208,Dublin 4,13,month,0,2750,2,2,1,1,1,0,1,1,0,0,1,0
1209,Dublin 4,13,month,0,1870,1,1,1,1,1,1,1,1,0,0,1,0
1210,Dublin 6,15,month,0,3250,2,3,1,1,1,1,1,1,0,0,1,0
1211,Dublin 1,0,month,0,2000,1,2,0,0,1,1,1,1,0,0,1,0
1212,Dublin 8,18,month,0,1435,1,1,0,0,1,0,0,1,0,0,1,0
1213,Dublin 14,4,month,0,1750,1,2,1,0,1,1,1,0,0,0,1,0
1214,Dublin 18,7,month,0,2600,3,2,1,1,1,1,1,1,0,0,1,0
1215,Dun Laoghaire A9X,24,month,0,1600,1,1,1,1,1,1,1,1,0,0,1,0
1216,Dublin 4,13,month,0,1930,1,1,1,1,1,1,1,1,0,0,1,0
1217,Dublin 6,15,month,0,1900,1,2,1,1,1,0,1,1,0,0,1,0
1218,Dublin 4,13,month,0,3875,2,2,1,1,1,1,1,1,0,0,0,0
1219,Dublin 4,13,month,0,3100,2,2,1,1,1,1,1,1,0,0,1,0
1220,Dublin 1,0,month,0,2000,1,3,0,0,1,1,0,1,0,0,0,0
1221,Dublin 2,8,month,0,1595,1,1,0,1,1,0,0,1,0,0,0,0
1222,Dublin 18,7,month,0,2150,2,2,1,1,1,1,1,1,0,0,1,0
1223,Dublin 2,8,month,0,3200,1,2,0,1,1,1,1,1,0,0,0,1
1224,Dublin 2,8,month,0,3100,1,2,0,1,1,1,1,1,0,0,1,1
1225,Dublin 3,12,month,0,1800,1,2,0,1,1,1,0,1,0,0,0,0
1226,Dublin 8,18,month,0,2400,1,3,0,1,0,0,1,0,0,0,0,0
1227,Dublin 3,12,month,0,1900,2,2,1,0,1,0,0,1,0,0,0,0
1228,Dublin 3,12,month,0,1800,1,2,1,0,1,0,0,1,0,0,0,0
1229,Dublin 8,18,month,0,1400,1,1,1,0,1,1,0,1,0,0,1,0
1230,Dublin 2,8,month,0,1850,1,2,1,1,1,1,0,1,0,0,1,0
1231,Dublin 1,0,month,0,1650,1,1,0,1,1,1,0,1,0,0,1,0
1232,Dublin 8,18,month,0,1500,1,1,0,0,1,1,1,1,0,0,0,0
1233,Dublin 6,15,month,0,1700,1,1,1,1,1,1,0,0,0,0,1,0
1234,Dublin 1,0,month,0,1568,2,1,0,1,1,1,0,1,0,0,0,0
1235,Dublin 1,0,month,0,2300,2,2,1,1,1,1,1,1,0,1,1,0
1236,Dun Laoghaire A96,23,month,0,1800,1,1,1,1,1,1,1,1,0,0,0,0
1237,Dublin 1,0,month,0,2200,2,2,0,1,1,0,1,1,0,0,1,0
